SPEC,STRAT,YEAR,INT,sampleID,right.total.length.mm,left.total.length.mm
4539,310.5,16047.96,16250,NA,NA,NA
4540,310.4,16051.198,16250,NA,NA,NA
4541,337.2,15233.53,15250,NA,NA,NA
4542,308.6,16109.487,16250,NA,NA,NA
4543,319.3,15785.658,16000,NA,NA,NA
4544,343.1,15042.471,15250,NA,NA,NA
4545,306.1,16190.444,16250,NA,NA,NA
4546,306.1,16190.444,16250,NA,NA,NA
4547,306.1,16190.444,16250,NA,NA,NA
4548,334.5,15320.964,15500,NA,NA,NA
4549,321.5,15714.416,15750,NA,NA,NA
4550.1,338.1,15204.385,15250,NA,NA,NA
4550.2,338.1,15204.385,15250,NA,NA,NA
4551,339.6,15155.811,15250,NA,NA,NA
4552,339.6,15155.811,15250,NA,NA,NA
4553,307.7,16138.632,16250,NA,NA,NA
4554,308.7,16106.249,16250,NA,NA,NA
4555,340.3,15133.143,15250,NA,NA,NA
4556,324.1,15630.22,15750,NA,NA,NA
4557,340.3,15133.143,15250,NA,NA,NA
4558,317.7,15837.471,16000,NA,NA,NA
4559,338.2,15201.147,15250,NA,NA,NA
4560,311.4,16018.815,16250,NA,NA,NA
4561,342.8,15052.185,15250,NA,NA,NA
4562,321.8,15704.701,15750,NA,NA,NA
4563,339.7,15152.572,15250,NA,NA,NA
4564,338.5,15191.432,15250,NA,NA,NA
4565,313.3,15979.956,16000,NA,NA,NA
4566,321.8,15704.701,15750,NA,NA,NA
4568,341.1,15107.236,15250,NA,NA,NA
4569,338.7,15184.955,15250,NA,NA,NA
4570,319,15795.373,16000,NA,NA,NA
4571,339.6,15155.811,15250,NA,NA,NA
4572,315.8,15898.998,16000,NA,NA,NA
4573,339.3,15165.526,15250,NA,NA,NA
4574.1,316.9,15863.377,16000,NA,NA,NA
4574.2,316.9,15863.377,16000,NA,NA,NA
4575,321.4,15717.654,15750,NA,NA,NA
4576,321.7,15707.939,15750,NA,NA,NA
4577.1,322.2,15691.748,15750,NA,NA,NA
4577.2,322.2,15691.748,15750,NA,NA,NA
4578,321.7,15707.939,15750,NA,NA,NA
4579,321.6,15711.178,15750,NA,NA,NA
4580,342.1,15074.853,15250,NA,NA,NA
4581,341.8,15084.568,15250,NA,NA,NA
4582,343.4,15032.756,15250,NA,NA,NA
4583,317.4,15847.186,16000,NA,NA,NA
4584,344,15013.326,15250,NA,NA,NA
4585,333.9,15340.393,15500,NA,NA,NA
4586,334.7,15314.487,15500,NA,NA,NA
4587,341.2,15103.998,15250,NA,NA,NA
4588,320.8,15737.084,15750,NA,NA,NA
4589,319.9,15766.228,16000,NA,NA,NA
4590,334.6,15317.725,15500,NA,NA,NA
4591,343.1,15042.471,15250,NA,NA,NA
4592,337.7,15217.338,15250,NA,NA,NA
4593,336.2,15265.913,15500,NA,NA,NA
4594,346.8,14925.892,15000,NA,NA,NA
4595,338.6,15188.194,15250,NA,NA,NA
4596,341.3,15100.76,15250,NA,NA,NA
4597,320.1,15759.752,16000,NA,NA,NA
4598,346.2,14945.322,15000,NA,NA,NA
4599,338.4,15194.67,15250,NA,NA,NA
4600,341.3,15100.76,15250,NA,NA,NA
4601,335.6,15285.342,15500,NA,NA,NA
4602,338.1,15204.385,15250,NA,NA,NA
4603,338.4,15194.67,15250,NA,NA,NA
4604,336.8,15246.483,15250,NA,NA,NA
4605,343.2,15039.232,15250,NA,NA,NA
4606,347.1,14916.177,15000,NA,NA,NA
4607,337.3,15230.291,15250,NA,NA,NA
4608,316.1,15889.283,16000,NA,NA,NA
4609,334.9,15308.01,15500,NA,NA,NA
4610,317.6,15840.709,16000,NA,NA,NA
4611,346.8,14925.892,15000,NA,NA,NA
4612,335.4,15291.819,15500,NA,NA,NA
4613,341.3,15100.76,15250,NA,NA,NA
4614,340.6,15123.428,15250,NA,NA,NA
4615,338.3,15197.909,15250,NA,NA,NA
4616,340.7,15120.19,15250,NA,NA,NA
4617,340.4,15129.904,15250,NA,NA,NA
