"","univ.specimenID","pmx","ect","cle","pf5","pga","pgp","tpg","lps","lpt","ds1","ds2","ds3","ldf","stl","mcv","mav","mdf","maf","mpt","mds","ips","ptt","layer.old.to.young"
"436","k.11_006",NA,6.01,NA,NA,1.15,2.61,3.76,NA,2.32,NA,4.12,1.81,3.6,38.62,19,NA,9,8,6,2,2.2,4,9
"437","k.11_007",2.54,6.17,6.18,NA,2.35,NA,2.35,NA,1.49,NA,3.65,1.5,4.03,48.43,20,14,9,8,5,2,1,3,9
"438","k.11_013",NA,6.97,NA,NA,1.71,0.57,2.28,NA,1.39,NA,NA,2.04,4.48,42,20,14,9,8,5,1,1.2,2,9
"439","k.11_020",1.89,6.25,NA,NA,1.12,3.77,4.89,NA,1.47,NA,NA,1.46,3.86,40.94,19,14,9,8,5,1,2.4,2,9
"440","k.11_024",2.38,10.22,NA,NA,1.56,NA,1.56,NA,1.89,NA,2.39,2.04,NA,61.97,19,14,9,8,5,2,1,3,9
"441","k.11_032",1.94,6.06,NA,NA,2.35,3.59,5.94,NA,1.47,NA,NA,1.53,3.67,42.36,20,14,10,8,5,1,2.2,2,9
"442","k.11_035",NA,NA,NA,NA,2.08,4.05,6.13,NA,2.28,NA,3.24,1.26,4.81,57.13,19,NA,9,8,NA,2,2.4,NA,9
"443","k.11_038",2.27,NA,NA,NA,1.36,NA,1.36,NA,NA,NA,NA,1.65,4.75,46.72,20,14,10,9,NA,1,1,NA,9
"444","k.11_042",NA,7,NA,NA,NA,NA,6.6,3.57,1.45,2.86,4.5,2.31,3.57,45.13,20,14,11,8,5,3,3,2,9
"445","k.11_045",NA,NA,9.62,NA,2.61,3.32,5.93,NA,1.82,NA,NA,0.99,NA,58.03,19,14,12,10,5,1,1.2,2,9
"446","k.11_046",NA,5.37,5.8,NA,2.05,NA,2.05,NA,1.12,NA,3.17,1.33,2.89,39.42,19,NA,9,8,6,2,1,3,9
"447","k.11_050",2.73,8.08,9.09,NA,2.27,NA,2.27,NA,1.7,NA,2.87,NA,NA,54.53,19,14,9,8,6,1,1,3,9
"448","k.11_051",NA,NA,NA,NA,1.3,NA,1.3,NA,1.33,NA,NA,1.29,3.19,38.09,19,14,9,8,5,1,1,2,9
"449","k.11_059",2.52,NA,NA,NA,0.77,2.66,3.33,NA,0.94,NA,NA,1.3,3.81,43.81,19,14,11,9,5,1,2,3,9
"450","k.11_060",2.26,6.23,NA,NA,1.6,NA,1.6,NA,1.86,NA,2.49,1.17,4.4,44.62,20,NA,9,8,5,2,1,3,9
"451","k.11_062",1.5,5.2,NA,NA,1,NA,1,NA,1.54,NA,NA,NA,3.31,39.14,19,14,9,8,5,0,1,1,9
"452","k.11_065",NA,6.6,6.26,NA,NA,NA,5.56,3.83,1.91,NA,3.03,1.42,3.93,43.49,20,14,10,8,5,2,3,3,9
"453","k.11_070",NA,5.23,6.28,NA,NA,NA,5.18,2.9,NA,NA,1.95,1.06,3.19,39.8,20,14,10,8,5,2,3,3,9
"454","k.11_071",NA,7.06,7.77,NA,2.3,NA,2.3,NA,1.65,NA,NA,1.22,4.5,45.08,19,14,10,10,5,1,1,2,9
"455","k.11_074",4.22,10.65,NA,NA,3.25,NA,3.25,NA,2.21,NA,NA,1.01,6.11,71.45,20,14,10,8,5,1,1,2,9
"456","k.11_075",1.92,5.87,6.05,NA,1.98,1.28,3.26,NA,0.78,NA,NA,1.63,3.72,41.55,19,14,10,8,5,1,1.2,2,9
"457","k.11_076",2.49,6.76,6.96,NA,1.92,NA,1.92,NA,1.41,NA,2.64,1.05,3.79,46.93,20,14,9,8,5,2,1,2,9
"458","k.11_083",2.02,NA,NA,NA,1.2,4.49,5.69,NA,1.36,NA,4.21,1.91,NA,45.38,19,NA,9,8,6,2,2,3,9
"459","k.11_084",3.58,NA,NA,NA,3.37,NA,3.37,NA,1.97,NA,NA,2.12,6.69,78.41,20,14,11,NA,5,1,1,2,9
"460","k.11_085",2,NA,7.01,NA,2.76,NA,2.76,NA,1.52,NA,NA,1.16,3.6,45.17,18,14,9,7,5,1,1,2,9
"461","k.11_086",NA,NA,NA,NA,NA,NA,NA,NA,1.81,NA,3.62,1.84,4.72,53.04,19,14,8,7,5,2,NA,3,9
"462","k.11_088",NA,6.29,NA,NA,NA,NA,6.9,3.12,1.63,NA,NA,1.33,3.34,45.61,20,14,10,8,5,1,3,3,9
"463","k.11_096",3.13,9.51,10.23,NA,3.26,NA,3.26,NA,1.87,NA,NA,NA,4.74,56.97,20,14,9,8,5,0,1,2,9
"464","k.11_102",2.76,7.52,7.95,NA,2.08,NA,2.08,NA,1.87,NA,NA,1.32,5.03,56.15,20,NA,10,9,6,1,1,3,9
"465","k.11_114",NA,NA,7.24,NA,NA,NA,6.16,2.82,NA,NA,NA,NA,4.25,45.31,19,14,10,8,NA,NA,3,NA,9
"466","k.11_117",1.99,6.83,7.16,NA,1.91,NA,1.91,NA,1.7,NA,3.82,0.89,3.77,43.9,20,14,9,8,6,2,1,3,9
"467","k.11_118",3.98,NA,NA,NA,3.05,NA,3.03,NA,1.61,NA,3.72,2.2,5.83,62.4,20,14,10,9,5,2,1,3,9
"468","k.10_006",NA,6.58,NA,NA,1.26,2.22,3.48,NA,1.11,NA,NA,NA,3.25,41.8,19,14,9,7,5,0,1.4,2,10
"469","k.10_016",2.28,6.32,6.86,NA,2.19,NA,2.19,NA,1.57,NA,4.2,1.77,4.61,44.96,20,NA,11,10,5,2,1,3,10
"470","k.10_019",1.92,NA,6.47,NA,1.75,NA,1.75,NA,1.43,NA,NA,1.4,4.06,39.42,19,14,10,9,5,1,1,2,10
"471","k.10_023",2.82,NA,NA,NA,2.19,NA,2.19,NA,1.63,NA,4.66,2.1,5.35,51.91,20,14,10,9,5,2,1,3,10
"472","k.10_030",2.36,7.56,NA,NA,2.34,2.46,4.8,NA,2.28,NA,NA,1.91,4.75,56.99,20,14,9,8,5,1,1.2,3,10
